id,premise,hypothesis,label
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1
3,Children smiling and waving at camera,They are smiling at their parents,1
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,1
12,Two blond women are hugging one another.,Some women are hugging on vacation.,1
15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,1
18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,2
21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1
24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,0
27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",1
30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,1
33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,0
36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,0
39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",1
42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,1
45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,2
48,A couple play in the tide with their young son.,The family is sitting down for dinner.,0
51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,0
54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,0
57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,1
60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,2
63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,2
66,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,0
69,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,0
72,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,1
75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,1
78,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,0
81,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,1
84,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,2
87,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,0
90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,0
93,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,1
96,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,2
99,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,2
102,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,0
105,A skier slides along a metal rail.,A skier is near the rail looking down.,1
108,A person on skis on a rail at night.,The woman eats a car,0
111,A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,1
114,A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,0
117,A blond man is drinking from a public fountain.,The man is drinking water.,2
120,Wet brown dog swims towards camera.,The dog is sleeping in his bed.,0
123,Closeup image of a dog swimming.,A cat reluctantly takes a bath.,0
126,The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,1
129,A big brown dog swims towards the camera.,A dog is chasing a stick.,0
132,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,1
135,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,2
138,A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,2
141,A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,1
144,A small group of church-goers watch a choir practice.,A group watches a practice.,2
147,A dog drops a red disc on a beach.,a dog catch the ball on a beach,0
150,A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,1
153,An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.,0
156,A couple holding hands walks down a street.,Two men hold hands while walking down the street.,1
159,A couple walk through a white brick town.,People are walking outdoors.,2
162,Children going home from school.,The children are at the library.,0
165,People listening to a choir in a Catholic church.,People are listening to a metal band.,0
168,Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,0
171,Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green.,1
174,Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,2
177,Bicyclists waiting at an intersection.,Bicyclists riding along a freeway.,0
180,Bicyclists waiting at an intersection.,The bicyclists are in a race.,1
183,People waiting at a light on bikes.,A bunch of friends are on a boat,0
186,People waiting at a light on bikes.,The people are inside waiting.,0
189,People waiting at a light on bikes.,The people are riding their bikes to the gym.,1
192,People waiting at a light on bikes.,There is traffic next to the bikes.,1
195,People waiting at a light on bikes.,Men and women outside on a street corner.,2
198,People on bicycles waiting at an intersection.,The people are on skateboards.,0
201,People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic.,1
204,People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction.,1
207,People on bicycles waiting at an intersection.,The people are sleeping.,0
210,People on bicycles waiting at an intersection.,People are on mountain bikes.,1
213,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty.,0
216,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is sleeping under a bench.,0
219,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",2
222,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is full of coal.,1
225,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside.,1
228,A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.,2
231,three bikers stop in town.,cars stop in town,1
234,three bikers stop in town.,Thoes bikers are slowing down,1
237,three bikers stop in town.,The bikers breathe water,0
240,three bikers stop in town.,There is a very angry dog.,0
243,three bikers stop in town.,A group of bikers are in the street.,2
246,Two people loading brush on a trailer attached to a truck.,A man is carrying a canoe to the water.,0
249,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope,2
252,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was on the job trying to move some equipment.,1
255,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man competes in a rope pulling contest,1
258,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.,2
261,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt,0
264,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is naked on the bed.,0
267,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v,0
270,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is happy because she found money on the ground.,1
273,A boat worker securing line.,A worker is doing something to a boat.,2
276,A small girl with a necklace is swimming.,A small girl with a necklace is swimming in a pool,1
279,a skateboarder skates in the pool.,A skate swims in the pool.,0
282,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A man is wrapped in a UNICEF blanket.,0
285,"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.,2
288,"A family with a baby, the father is wearing a save the children sign.",Three adults are pictured.,0
291,A foreign family is walking along a dirt path next to the water.,they are riding a bike,0
294,A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.,2
297,A foreign family is walking along a dirt path next to the water.,A family of foreigners swims in the water.,0
300,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the water.,2
303,A foreign family is walking along a dirt path next to the water.,There is a family taking a walk outside.,2
306,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at sculptures at a museum.,2
309,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People standing near sculptures,2
312,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The sculptures are a recent creation.,1
315,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The is a single sculpture.,0
318,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are sculptures of people.,1
321,Group of young women in dresses strolling on the sidewalk.,all the women are well dressed,1
324,A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,a man is photographing a man skateboarding.,2
327,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking the picture of a skateboarder who is being taken by aliens.,0
330,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking the picture of a skateboarder who is performing a trick.,2
333,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs Tony Hawk skateboarding.,1
336,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is photographing another man.,2
339,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a skateboarder doing tricks.,2
342,One biker is running with their bike while another is riding around them.,The people are driving cars,0
345,"Two people with bicycles, one in front running with a bike and one in back riding.",Two people eating ice cream cones at the mall.,0
348,A young man doing a trick on a skateboard down the stairs while being photographed.,A young man roller blades across a ramp while being photographed.,0
351,"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady is about to propose to her boyfriend.,1
354,A man walking proudly down the street.,The man is in the theatre watching Avatar.,0
357,Four teenage boys are doing cannonballs into a swimming pool.,Four friends are having a competition to see who throws the most water out of a pool.,1
360,Three men standing on grass by the water looking at something on a table.,The three men are by the lake.,1
363,A woman stands behind an outdoor grill with a blue basket of food in her hands.,A woman holding a blue basket full of food at a family cookout.,1
366,A Land Rover makes its way through a deep pond.,A car gets stuck in the water.,1
369,many people relax in the yard.,A group of people are outside.,2
372,A car sinking in water.,A car is flooding.,2
375,A man wearing black is playing an electric guitar at a concert.,A man is playing the guitar.,2
378,A man with wild hair rocks a show playing a guitar center stage.,The bald man played the drums.,0
381,woman and child on trolley car labeled Powell and market and bay and taylor,The woman is carrying her child.,1
384,"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",Coworkers at at a monthly safety meeting.,1
387,Two ladies are reading through binders.,Two ladies are studying for their final exam.,1
390,A man in the distance is walking past a brick wall painted with words and graffiti.,A man walks away from a wall he has defaced.,1
393,A woman and a child holding on to the railing while on trolley.,The people are not holding onto anything.,0
396,A man in a striped polo shirt is pointing and smiling.,The man is swimming,0
399,A guy performing a bicycle jump trick for an audience.,a bmx pro is doing a triple backflip,1
402,A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.,The woman is wearing a coat.,2
405,Two children play outside in a field.,A brother and sister chase each other in a field.,1
408,"One man sits inside and plays the banjo, there are trees behind him outside.",A man runs outside.,0
411,"Two children, in colorful outfits, playing in a field with a big rock in the middle.",Don't play with rocks,0
414,Two young girls are playing outside in a non-urban environment.,Some girls are running through an open field.,1
417,"Two children in hats play in an open, rocky field.",The children are at home eating lunch.,0
420,A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.,The dancing woman is on the grass.,1
423,Man in gold pants looking at the camera.,Man looking at the camera.,2
426,A man in a gold skirt sits in front of the computer.,A man in a gold skirt sitting at his computer watching the computer screen.,2
429,Man wearing black t-shirt sitting at a computer desk.,the man is working on the computer,2
432,A bearded man in a black t-shirt sits in front of a desk holding a computer.,A man is standing in the rain.,0
435,"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",a man is looking at his webcam,2
438,A young girl sitting at a table with a bowl on her head,A young girl has a bowl on her head,2
441,A man dances with a fire baton at night.,the crowd cheers as he peforms,1
444,A doctor checks the stomach of a toddler.,The toddler is getting a checkup.,2
447,Young blond woman putting her foot into a water fountain,"A young woman wearing an evening gown, and holding her shoes in her hands, is dipping one foot into Buckingham Fountain in Chicago.",1
450,A young woman tries to stick her foot in a fountain.,The woman is riding a train.,0
453,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is walking in park,0
456,Woman balancing on edge of fountain while sticking her toe in the water.,A woman stand on a fountain and dips her toes in.,2
459,A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is outdoors.,2
462,A man stare at a passing couple while walking down the block.,A man stares at a passing couple.,2
465,"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",couple walking home,1
468,A man and a woman are holding hands as they walk along a city sidewalk.,A married couple are fighting on the sidewalk.,0
471,a man in red stands with his child at the beach.,A man wearing blue sleeping with his child in his lap inside his home.,0
474,New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.,2
477,Two men in wheelchairs are reaching in the air for a basketball.,Two sad men in wheelchairs are reaching in the air for a basketball.,1
480,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Some wheelchair basketball players playing the basketball match.,1
483,Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing cards.,0
486,Three dogs in different shades of brown and white biting and licking each other.,the dogs are fighting,0
489,"Two dogs playfully bite a third dog, which has its tongue sticking out.","Two puppies bite their mother, while she pants.",1
492,Three small puppies bite and play together in the grass.,The puppies are sleeping in a basket.,0
495,Two dogs biting another dog in a field.,dogs bitting,1
498,Tourists waiting at a train stop.,Tourist walking around an art museum.,0
501,A doctor in blue scrubs is performing an operation assisted by two men and a woman.,a old man was talking,2
504,A woman with a black jacket walks past an outdoor movie poster.,A female is leaving a movie theatre.,1
507,A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,A man stands.,2
510,Indian lady and a guy in a blue suit dancing in the sunlight.,A woman eats a pickle.,0
513,Two older men are talking.,Two people are having a conversation.,2
516,A mountain biker jumping a slope outdoors in a forest area.,They are going fast.,1
519,A mountain biker jumping a slope outdoors in a forest area.,A person is trying to learn new tricks on their bike.,1
522,A mountain biker jumping a slope outdoors in a forest area.,The biker can be a man or a woman,1
525,A mountain biker jumping a slope outdoors in a forest area.,The biker is using a small bike to jump a hole.,1
528,A mountain biker jumping a slope outdoors in a forest area.,The biker is trying to jump over a volcano.,0
531,Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,The old men are discussing the weather.,1
534,"Two elderly men having a conversation, snow covered grass in the background.",The men are drinking coffee and having some cookies,0
537,Two men are standing outside and snow is on the ground.,Two men preparing for a snowball fight.,1
540,Two older men in coats are standing outside.,These men never wore coats.,0
543,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A woman is brushing her hair in her bedroom.,0
546,BMX biker jumps over a ravine.,ravine jumping is never easy,1
549,A white bike is tied to a street sign.,the bike is tied to a stop sign,1
552,A white bike is leaning against a post.,A bike is on the ground about to be reparied,0
555,The boy locked the cycle and went away.,A boy riding a bike.,0
558,A crowded city during daytime.,A city filled with people in the middle of the daytime.,2
561,People walking around in a big city.,People are walking to the park.,1
564,A busy city that looks like New York City.,The city has a lot of people in it.,2
567,"A view of buildings and people walking across the streets in Times Square, New York City.",There is a city.,2
570,A woman is making a clay pot.,A man is painting a painting.,0
573,A barber waiting for customers.,A barber is inside his shop standing in the front.,1
576,A man sitting in a barber shop.,There is an individual waiting indoors.,2
579,A woman preparing to glaze a bowl.,A woman happily preparing to glaze,1
582,"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.",A woman wearing gloves is washing dishes.,0
585,A model posing to look as if she's a real female soccer player.,A man is modeling for a cooking show.,0
588,Firemen emerge from a subway station.,Firemen walking outside,2
591,Exhausted looking firemen are walking.,Firemen are walking.,2
594,"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",Three man are holding axes in their left hands.,0
597,A man walking along side a clean up crew.,The man directed the clean up crew where to go.,1
600,A little boy swims underwater.,A boy floats on top of water.,0
603,A driver is racing his Ford vehicle on a gravel track.,A man has parked his truck.,0
606,Three guys and a girl are all jumping in a pool together.,The people are all climbing out of the water.,0
609,"A little boy underwater in a pool, holding a plastic dinosaur.",The toy is waterproof.,1
612,A little boy swimming underwater with a toy in his hand.,A little boy is chasing a dog.,0
615,A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.,A man is riding in his first rodeo.,1
618,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man rides an animal.,2
621,a woman with a straw hat working on a strange machine with coconuts at her side.,A woman is using a machine to make coconut milk.,1
624,A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.,The man is boiling a pot of corn.,0
627,a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.,The woman is making jewelry at the park.,1
630,A woman on the side of a street is making food on her cart.,A child is wearing a bandana.,0
633,A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.,The man is wearing a blue shirt.,0
636,Women exercising one woman has a green mat and black outfit on.,The women are exercising.,2
639,Students practicing yoga in a class setting.,The students are taking a beginners' yoga class.,1
642,People are stretching on yoga mats.,They stretched on yoga mats outside.,1
645,A group of people are doing yoga.,The people are doing yoga,2
648,Motorcyclist performing while two men watch.,Two women are walking with strollers.,0
651,The young man is waiting with others on the sidewalk.,The girls are climbing a tree,0
654,Two people pose for the camera.,People pose for a picture.,2
657,A man is sleeping on the grass.,The man is laying down to sleep,2
660,A white and brown dog is leaping through the air.,The white and brown dog is in the air.,2
663,A row of legs and black boots with a boy sitting at the end of the row.,A young boy eats a sandwich.,0
666,A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.,A man is wearing blue.,2
669,Various people hanging around outside of a building.,The people are inside playing soccer.,0
672,A little girl follows two guys with umbrellas down a path.,The people are outside.,2
675,A lady is on the floor packing a suitcase.,She is packing.,2
678,Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.,A girl is running on the trail.,2
681,"Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.",3 people are walking along a path.,2
684,The blond woman is searching for medical supplies in a suitcase.,A blonde woman looks for things in a suitcase.,2
687,Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.,A woman is packing for a trip.,1
690,A young woman packs belongings into a black suitcase.,A young man packs belongings into a black trash bag.,0
693,People going for a long walk to the mountains.,The people are walking in a big group.,1
696,A man resting on a street.,A man sitting on a street.,1
699,A woman in costume is marching with a large drum.,Highschool homcoming marching band is marching.,1
702,"A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.",Someone is toting packages in an urban setting.,2
705,a motorcyclist does a nose wheelie.,A man doing a wheelie,2
708,A man sitting on a scooter on the curb.,A man is waiting for someone to fix his scooter.,1
711,A man stopping on the sidewalk with his bike to have a smoke.,The man is playing basketball.,0
714,A man is sitting on a motorcycle on the sidewalk.,A man is sitting on a motorcycle.,2
717,Man smokes while sitting on a parked scooter.,A man smokes a cigarette while sitting on his scooter.,1
720,Man on the sidewalk sitting on a motorcycle.,A man on the motorcycle,1
723,"A couple, wearing black, burgundy, and white, dance.",The woman danced alone.,0
726,People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People are running for a charity.,1
729,People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People wearing their bright team uniforms await the pistol that signifies the start of their race,1
732,People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People wait for a race to begin.,2
735,People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People in orange vests are racing in a race that has started.,0
