sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id
Who should Derek hug after shocking Richard?,Who should Derek hug Richard after shocking?,syntax,island_effects,adjunct_island,True,False,False,True,0
What had Theresa walked through while talking about that high school?,What had Theresa walked through that high school while talking about?,syntax,island_effects,adjunct_island,True,False,False,True,1
Who will Katherine discover without hiring Erin?,Who will Katherine discover Erin without hiring?,syntax,island_effects,adjunct_island,True,False,False,True,2
Who has Colleen aggravated before kissing Judy?,Who has Colleen aggravated Judy before kissing?,syntax,island_effects,adjunct_island,True,False,False,True,3
What could a lot of cats break while finding all convertibles?,What could a lot of cats break all convertibles while finding?,syntax,island_effects,adjunct_island,True,False,False,True,4
Who have most people discovered while embarrassing Erin?,Who have most people discovered Erin while embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,5
Who was William firing before talking about Maria?,Who was William firing Maria before talking about?,syntax,island_effects,adjunct_island,True,False,False,True,6
What is Denise descending while hiding a lot of hills?,What is Denise descending a lot of hills while hiding?,syntax,island_effects,adjunct_island,True,False,False,True,7
Who does John leave while alarming Beverly?,Who does John leave Beverly while alarming?,syntax,island_effects,adjunct_island,True,False,False,True,8
What was Melanie going to after taking those rivers?,What was Melanie going to those rivers after taking?,syntax,island_effects,adjunct_island,True,False,False,True,9
Who could Bethany research before discussing Winston Churchill?,Who could Bethany research Winston Churchill before discussing?,syntax,island_effects,adjunct_island,True,False,False,True,10
What could Jessica sell before noticing these spotlights?,What could Jessica sell these spotlights before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,11
What had Helen biked to without bothering Spain?,What had Helen biked to Spain without bothering?,syntax,island_effects,adjunct_island,True,False,False,True,12
Who is Mary irritating after approaching Kenneth?,Who is Mary irritating Kenneth after approaching?,syntax,island_effects,adjunct_island,True,False,False,True,13
Who might Rose flee from before returning to this customer?,Who might Rose flee from this customer before returning to?,syntax,island_effects,adjunct_island,True,False,False,True,14
What will Janice research after boasting about politics?,What will Janice research politics after boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,15
Who had Karla aggravated without finding Donald?,Who had Karla aggravated Donald without finding?,syntax,island_effects,adjunct_island,True,False,False,True,16
Who should a government reference before shocking Jesus?,Who should a government reference Jesus before shocking?,syntax,island_effects,adjunct_island,True,False,False,True,17
What had Aaron sounded like while cleaning the museum?,What had Aaron sounded like the museum while cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,18
What is Brenda arriving at while exiting many schools?,What is Brenda arriving at many schools while exiting?,syntax,island_effects,adjunct_island,True,False,False,True,19
Who is a window hurting without disturbing Sabrina?,Who is a window hurting Sabrina without disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,20
Who had Jesus bothered after leaving Lori?,Who had Jesus bothered Lori after leaving?,syntax,island_effects,adjunct_island,True,False,False,True,21
Who are a lot of hamsters disgusting while finding Ronald?,Who are a lot of hamsters disgusting Ronald while finding?,syntax,island_effects,adjunct_island,True,False,False,True,22
Who could Amelia leave while appreciating Paul?,Who could Amelia leave Paul while appreciating?,syntax,island_effects,adjunct_island,True,False,False,True,23
What have many ladies dropped by without talking about all malls?,What have many ladies dropped by all malls without talking about?,syntax,island_effects,adjunct_island,True,False,False,True,24
What is Larry dropping by after lifting a grocery store?,What is Larry dropping by a grocery store after lifting?,syntax,island_effects,adjunct_island,True,False,False,True,25
Who is that student hugging before stunning Catherine?,Who is that student hugging Catherine before stunning?,syntax,island_effects,adjunct_island,True,False,False,True,26
Who were those schools appreciating without scaring Alice?,Who were those schools appreciating Alice without scaring?,syntax,island_effects,adjunct_island,True,False,False,True,27
What did Dan sell after revealing some plane?,What did Dan sell some plane after revealing?,syntax,island_effects,adjunct_island,True,False,False,True,28
What had Marcus climbed down before buying many mountains?,What had Marcus climbed down many mountains before buying?,syntax,island_effects,adjunct_island,True,False,False,True,29
What has Jacqueline scanned before revealing that report?,What has Jacqueline scanned that report before revealing?,syntax,island_effects,adjunct_island,True,False,False,True,30
Who is Tanya returning to while astounding Donald?,Who is Tanya returning to Donald while astounding?,syntax,island_effects,adjunct_island,True,False,False,True,31
Who had Kirsten referenced without boring Liam?,Who had Kirsten referenced Liam without boring?,syntax,island_effects,adjunct_island,True,False,False,True,32
What are some drivers touring after going to every hill?,What are some drivers touring every hill after going to?,syntax,island_effects,adjunct_island,True,False,False,True,33
Who would Mark visit while kissing Marla?,Who would Mark visit Marla while kissing?,syntax,island_effects,adjunct_island,True,False,False,True,34
What is Scott cleaning after cleaning a pie?,What is Scott cleaning a pie after cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,35
Who has some doctor listened to after firing that actress?,Who has some doctor listened to that actress after firing?,syntax,island_effects,adjunct_island,True,False,False,True,36
Who has that lady approached after alarming Ellen?,Who has that lady approached Ellen after alarming?,syntax,island_effects,adjunct_island,True,False,False,True,37
What can Randolf bike to before discussing the lakes?,What can Randolf bike to the lakes before discussing?,syntax,island_effects,adjunct_island,True,False,False,True,38
What had some senator toured before hiding those cafes?,What had some senator toured those cafes before hiding?,syntax,island_effects,adjunct_island,True,False,False,True,39
Who was Eric impressing without admiring Christina?,Who was Eric impressing Christina without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,40
What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,syntax,island_effects,adjunct_island,True,False,False,True,41
Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?,syntax,island_effects,adjunct_island,True,False,False,True,42
Who was Rose astounding while hiding many waiters?,Who was Rose astounding many waiters while hiding?,syntax,island_effects,adjunct_island,True,False,False,True,43
What is Karen researching before walking through that mountain?,What is Karen researching that mountain before walking through?,syntax,island_effects,adjunct_island,True,False,False,True,44
Who could Dana boast about after disturbing Brenda?,Who could Dana boast about Brenda after disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,45
What was this bird aggravating before annoying every hospital?,What was this bird aggravating every hospital before annoying?,syntax,island_effects,adjunct_island,True,False,False,True,46
Who had Colleen known after concealing Stephen?,Who had Colleen known Stephen after concealing?,syntax,island_effects,adjunct_island,True,False,False,True,47
What are these customers arriving at without alarming Spain?,What are these customers arriving at Spain without alarming?,syntax,island_effects,adjunct_island,True,False,False,True,48
What has Angela admired while cleaning shoes?,What has Angela admired shoes while cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,49
What is Becky selling before noticing some hospital?,What is Becky selling some hospital before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,50
Who had many cashiers concealed after investigating Nina?,Who had many cashiers concealed Nina after investigating?,syntax,island_effects,adjunct_island,True,False,False,True,51
Who had Melanie admired before listening to Chad?,Who had Melanie admired Chad before listening to?,syntax,island_effects,adjunct_island,True,False,False,True,52
Who does Bethany visit before scaring Amanda?,Who does Bethany visit Amanda before scaring?,syntax,island_effects,adjunct_island,True,False,False,True,53
What is Tiffany exiting before climbing down the mountain?,What is Tiffany exiting the mountain before climbing down?,syntax,island_effects,adjunct_island,True,False,False,True,54
Who had Susan insulted without boring Heather?,Who had Susan insulted Heather without boring?,syntax,island_effects,adjunct_island,True,False,False,True,55
Who has Curtis noticed while investigating Steve?,Who has Curtis noticed Steve while investigating?,syntax,island_effects,adjunct_island,True,False,False,True,56
Who has Kayla disliked after disgusting Derek?,Who has Kayla disliked Derek after disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,57
What is Martin skated around without buying these hospitals?,What is Martin skated around these hospitals without buying?,syntax,island_effects,adjunct_island,True,False,False,True,58
What was Beth dropping by after bringing all glaciers?,What was Beth dropping by all glaciers after bringing?,syntax,island_effects,adjunct_island,True,False,False,True,59
Who had Rhonda distracted while finding Chad?,Who had Rhonda distracted Chad while finding?,syntax,island_effects,adjunct_island,True,False,False,True,60
What has Bethany driven to before biking to a lot of hills?,What has Bethany driven to a lot of hills before biking to?,syntax,island_effects,adjunct_island,True,False,False,True,61
Who have the slopes hurt before disgusting a lot of adults?,Who have the slopes hurt a lot of adults before disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,62
What will Brad wear before noticing these scarves?,What will Brad wear these scarves before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,63
What had Steven boycotted before running around the art gallery?,What had Steven boycotted the art gallery before running around?,syntax,island_effects,adjunct_island,True,False,False,True,64
Who do the Borgias like before aggravating Mark?,Who do the Borgias like Mark before aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,65
What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?,syntax,island_effects,adjunct_island,True,False,False,True,66
Who would Jesus hug without discovering Bradley?,Who would Jesus hug Bradley without discovering?,syntax,island_effects,adjunct_island,True,False,False,True,67
Who has Mark sounded like before finding that doctor?,Who has Mark sounded like that doctor before finding?,syntax,island_effects,adjunct_island,True,False,False,True,68
Who has Rebecca fled from without listening to Kirsten?,Who has Rebecca fled from Kirsten without listening to?,syntax,island_effects,adjunct_island,True,False,False,True,69
Who was Ellen escaping from before curing Julia?,Who was Ellen escaping from Julia before curing?,syntax,island_effects,adjunct_island,True,False,False,True,70
What does Travis fix after breaking every carriage?,What does Travis fix every carriage after breaking?,syntax,island_effects,adjunct_island,True,False,False,True,71
What might Tanya walk through after hiding every cafe?,What might Tanya walk through every cafe after hiding?,syntax,island_effects,adjunct_island,True,False,False,True,72
What has Ella brought after finding all icicles?,What has Ella brought all icicles after finding?,syntax,island_effects,adjunct_island,True,False,False,True,73
What was Valerie selling after climbing down some slope?,What was Valerie selling some slope after climbing down?,syntax,island_effects,adjunct_island,True,False,False,True,74
What could Douglas bike to without admiring every mountain?,What could Douglas bike to every mountain without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,75
What would those teenagers research before boycotting some malls?,What would those teenagers research some malls before boycotting?,syntax,island_effects,adjunct_island,True,False,False,True,76
What can Dan clean before cleaning every screen?,What can Dan clean every screen before cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,77
Who would Deborah see while hugging Christina?,Who would Deborah see Christina while hugging?,syntax,island_effects,adjunct_island,True,False,False,True,78
Who can Gregory talk about before hugging Emily?,Who can Gregory talk about Emily before hugging?,syntax,island_effects,adjunct_island,True,False,False,True,79
What should Elaine argue about before admiring books?,What should Elaine argue about books before admiring?,syntax,island_effects,adjunct_island,True,False,False,True,80
What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,syntax,island_effects,adjunct_island,True,False,False,True,81
What will the guys notice before shocking a lot of museums?,What will the guys notice a lot of museums before shocking?,syntax,island_effects,adjunct_island,True,False,False,True,82
Who could Monet worry while thinking about Dana?,Who could Monet worry Dana while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,83
Who could Thomas observe without distracting Peter?,Who could Thomas observe Peter without distracting?,syntax,island_effects,adjunct_island,True,False,False,True,84
Who has Suzanne admired after scaring Connie?,Who has Suzanne admired Connie after scaring?,syntax,island_effects,adjunct_island,True,False,False,True,85
Who can some closets disgust without shocking that dancer?,Who can some closets disgust that dancer without shocking?,syntax,island_effects,adjunct_island,True,False,False,True,86
Who has Bruce annoyed while investigating Kevin?,Who has Bruce annoyed Kevin while investigating?,syntax,island_effects,adjunct_island,True,False,False,True,87
What was Bethany lifting without returning to these cafes?,What was Bethany lifting these cafes without returning to?,syntax,island_effects,adjunct_island,True,False,False,True,88
What should Wendy boycott after questioning every hospital?,What should Wendy boycott every hospital after questioning?,syntax,island_effects,adjunct_island,True,False,False,True,89
What are these pedestrians selling after finding that bird?,What are these pedestrians selling that bird after finding?,syntax,island_effects,adjunct_island,True,False,False,True,90
What is Laurie buying before cleaning the car?,What is Laurie buying the car before cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,91
What does Matt embarrass before bothering every legislature?,What does Matt embarrass every legislature before bothering?,syntax,island_effects,adjunct_island,True,False,False,True,92
What have some drivers worn without finding a shawl?,What have some drivers worn a shawl without finding?,syntax,island_effects,adjunct_island,True,False,False,True,93
Who can Kimberley help before healing Martin?,Who can Kimberley help Martin before healing?,syntax,island_effects,adjunct_island,True,False,False,True,94
Who have most students distracted before impressing Marla?,Who have most students distracted Marla before impressing?,syntax,island_effects,adjunct_island,True,False,False,True,95
What was Dawn boycotting after describing public parks?,What was Dawn boycotting public parks after describing?,syntax,island_effects,adjunct_island,True,False,False,True,96
Who was Cynthia observing while thinking about Rose?,Who was Cynthia observing Rose while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,97
What do many fish break before breaking the truck?,What do many fish break the truck before breaking?,syntax,island_effects,adjunct_island,True,False,False,True,98
Who was Ann thinking about without distracting some cashiers?,Who was Ann thinking about some cashiers without distracting?,syntax,island_effects,adjunct_island,True,False,False,True,99
What does this mall look like while looking like the paintings?,What does this mall look like the paintings while looking like?,syntax,island_effects,adjunct_island,True,False,False,True,100
Who has Suzanne irritated without alarming Homer?,Who has Suzanne irritated Homer without alarming?,syntax,island_effects,adjunct_island,True,False,False,True,101
Who could Candice investigate after approaching all senators?,Who could Candice investigate all senators after approaching?,syntax,island_effects,adjunct_island,True,False,False,True,102
Who might Dennis hire without helping Galileo?,Who might Dennis hire Galileo without helping?,syntax,island_effects,adjunct_island,True,False,False,True,103
What had Sally remembered without insulting the report?,What had Sally remembered the report without insulting?,syntax,island_effects,adjunct_island,True,False,False,True,104
What was every senator scanning without taking most newspaper articles?,What was every senator scanning most newspaper articles without taking?,syntax,island_effects,adjunct_island,True,False,False,True,105
Who is Diana boasting about after kissing Christina?,Who is Diana boasting about Christina after kissing?,syntax,island_effects,adjunct_island,True,False,False,True,106
What is Stephen worrying after talking about that hospital?,What is Stephen worrying that hospital after talking about?,syntax,island_effects,adjunct_island,True,False,False,True,107
Who were many blouses confusing before distracting Alexander?,Who were many blouses confusing Alexander before distracting?,syntax,island_effects,adjunct_island,True,False,False,True,108
Who had Dan discovered before observing Judy?,Who had Dan discovered Judy before observing?,syntax,island_effects,adjunct_island,True,False,False,True,109
What was Connie climbing up before concealing all ladders?,What was Connie climbing up all ladders before concealing?,syntax,island_effects,adjunct_island,True,False,False,True,110
Who was this driver firing while disturbing Rachelle?,Who was this driver firing Rachelle while disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,111
Who has Tina disturbed while arguing about Jill?,Who has Tina disturbed Jill while arguing about?,syntax,island_effects,adjunct_island,True,False,False,True,112
Who has Rhonda described after describing a girl?,Who has Rhonda described a girl after describing?,syntax,island_effects,adjunct_island,True,False,False,True,113
Who might Derek criticize without firing drivers?,Who might Derek criticize drivers without firing?,syntax,island_effects,adjunct_island,True,False,False,True,114
What has Cindy run around after walking through all closets?,What has Cindy run around all closets after walking through?,syntax,island_effects,adjunct_island,True,False,False,True,115
Who have the cakes annoyed while disturbing Renee?,Who have the cakes annoyed Renee while disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,116
Who had Kayla kissed after upsetting Aaron?,Who had Kayla kissed Aaron after upsetting?,syntax,island_effects,adjunct_island,True,False,False,True,117
Who is Rodney concealing after bothering Stephen?,Who is Rodney concealing Stephen after bothering?,syntax,island_effects,adjunct_island,True,False,False,True,118
What might Anna lift before selling bicycles?,What might Anna lift bicycles before selling?,syntax,island_effects,adjunct_island,True,False,False,True,119
What was Ronald bringing while bringing a popsicle?,What was Ronald bringing a popsicle while bringing?,syntax,island_effects,adjunct_island,True,False,False,True,120
What has Judy visited while selling some glacier?,What has Judy visited some glacier while selling?,syntax,island_effects,adjunct_island,True,False,False,True,121
Who can this cart worry after upsetting waiters?,Who can this cart worry waiters after upsetting?,syntax,island_effects,adjunct_island,True,False,False,True,122
What had Nicole driven to while selling hills?,What had Nicole driven to hills while selling?,syntax,island_effects,adjunct_island,True,False,False,True,123
Who had Lisa talked to without complaining about every guest?,Who had Lisa talked to every guest without complaining about?,syntax,island_effects,adjunct_island,True,False,False,True,124
Who could Jacqueline hire without healing Marcus?,Who could Jacqueline hire Marcus without healing?,syntax,island_effects,adjunct_island,True,False,False,True,125
Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?,syntax,island_effects,adjunct_island,True,False,False,True,126
Who should Amanda distract while appreciating every patient?,Who should Amanda distract every patient while appreciating?,syntax,island_effects,adjunct_island,True,False,False,True,127
Who had Regina irritated while hiding Deborah?,Who had Regina irritated Deborah while hiding?,syntax,island_effects,adjunct_island,True,False,False,True,128
Who is the hat hurting while distracting Charles?,Who is the hat hurting Charles while distracting?,syntax,island_effects,adjunct_island,True,False,False,True,129
Who had Brian discovered after stunning Eric?,Who had Brian discovered Eric after stunning?,syntax,island_effects,adjunct_island,True,False,False,True,130
What has Kevin broken without breaking every carriage?,What has Kevin broken every carriage without breaking?,syntax,island_effects,adjunct_island,True,False,False,True,131
What was Connie descending without bringing ladders?,What was Connie descending ladders without bringing?,syntax,island_effects,adjunct_island,True,False,False,True,132
What does Brad descend without finding some hills?,What does Brad descend some hills without finding?,syntax,island_effects,adjunct_island,True,False,False,True,133
Who had Rachel concealed without disgusting Mark?,Who had Rachel concealed Mark without disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,134
What is Jessica driving to after noticing Spain?,What is Jessica driving to Spain after noticing?,syntax,island_effects,adjunct_island,True,False,False,True,135
Who has Margaret criticized while thinking about Lawrence?,Who has Margaret criticized Lawrence while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,136
Who had some face bothered while confusing Sarah?,Who had some face bothered Sarah while confusing?,syntax,island_effects,adjunct_island,True,False,False,True,137
Who had Regina cured while talking about every dancer?,Who had Regina cured every dancer while talking about?,syntax,island_effects,adjunct_island,True,False,False,True,138
What could Ellen climb up without climbing down stairs?,What could Ellen climb up stairs without climbing down?,syntax,island_effects,adjunct_island,True,False,False,True,139
Who had Margaret talked to while insulting Carol?,Who had Margaret talked to Carol while insulting?,syntax,island_effects,adjunct_island,True,False,False,True,140
What has Kayla looked like while bringing a lot of photographs?,What has Kayla looked like a lot of photographs while bringing?,syntax,island_effects,adjunct_island,True,False,False,True,141
Who was Kendra scaring after insulting Tammy?,Who was Kendra scaring Tammy after insulting?,syntax,island_effects,adjunct_island,True,False,False,True,142
Who will Lissa sound like before irritating Sonia?,Who will Lissa sound like Sonia before irritating?,syntax,island_effects,adjunct_island,True,False,False,True,143
Who had Pamela bored after discovering Homer?,Who had Pamela bored Homer after discovering?,syntax,island_effects,adjunct_island,True,False,False,True,144
What was Scott dropping by before running around a hill?,What was Scott dropping by a hill before running around?,syntax,island_effects,adjunct_island,True,False,False,True,145
Who can Becky love before upsetting those adults?,Who can Becky love those adults before upsetting?,syntax,island_effects,adjunct_island,True,False,False,True,146
What is Sara wearing without buying those blouses?,What is Sara wearing those blouses without buying?,syntax,island_effects,adjunct_island,True,False,False,True,147
Who will guys describe before scaring Elizabeth?,Who will guys describe Elizabeth before scaring?,syntax,island_effects,adjunct_island,True,False,False,True,148
Who was Carrie annoying after discovering Florence?,Who was Carrie annoying Florence after discovering?,syntax,island_effects,adjunct_island,True,False,False,True,149
What will Adam tour without criticizing this college campus?,What will Adam tour this college campus without criticizing?,syntax,island_effects,adjunct_island,True,False,False,True,150
Who did Steve observe while irritating Ella?,Who did Steve observe Ella while irritating?,syntax,island_effects,adjunct_island,True,False,False,True,151
What were the Clintons climbing up after noticing most hills?,What were the Clintons climbing up most hills after noticing?,syntax,island_effects,adjunct_island,True,False,False,True,152
What has James broken before cleaning those couches?,What has James broken those couches before cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,153
Who can Bradley appreciate after concealing the Clintons?,Who can Bradley appreciate the Clintons after concealing?,syntax,island_effects,adjunct_island,True,False,False,True,154
Who has the cashier fired without disturbing Bruce?,Who has the cashier fired Bruce without disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,155
What has Heather skated around after going to that mountain?,What has Heather skated around that mountain after going to?,syntax,island_effects,adjunct_island,True,False,False,True,156
Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,syntax,island_effects,adjunct_island,True,False,False,True,157
Who was Keith working with after arguing about Heather?,Who was Keith working with Heather after arguing about?,syntax,island_effects,adjunct_island,True,False,False,True,158
What was Gerald breaking after buying these carriages?,What was Gerald breaking these carriages after buying?,syntax,island_effects,adjunct_island,True,False,False,True,159
What had Jerry worn before selling some hats?,What had Jerry worn some hats before selling?,syntax,island_effects,adjunct_island,True,False,False,True,160
What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?,syntax,island_effects,adjunct_island,True,False,False,True,161
What had Monet skated around while talking about some hill?,What had Monet skated around some hill while talking about?,syntax,island_effects,adjunct_island,True,False,False,True,162
Who is Jacqueline finding after hugging Meredith?,Who is Jacqueline finding Meredith after hugging?,syntax,island_effects,adjunct_island,True,False,False,True,163
What should Dan bike to before returning to some closets?,What should Dan bike to some closets before returning to?,syntax,island_effects,adjunct_island,True,False,False,True,164
What can Pamela go to while biking to many grocery stores?,What can Pamela go to many grocery stores while biking to?,syntax,island_effects,adjunct_island,True,False,False,True,165
What has this girl sounded like after bringing these lakes?,What has this girl sounded like these lakes after bringing?,syntax,island_effects,adjunct_island,True,False,False,True,166
What has Carlos broken while revealing most skateboards?,What has Carlos broken most skateboards while revealing?,syntax,island_effects,adjunct_island,True,False,False,True,167
